full_title,short_title,main_author,library_name,library_city,culinary_focus,edition_year,edition_number,publication_cities,publication_countries,contributors,publishers,edition_category,short_note,language,translated_from,format,pages,has_illustrations,dimensions,price
"THE COMPLETE FAMILY-PIECE: and, Country Gentleman, and Farmer’s Best Guide. In Three Parts. Part I. Containing a very choice and valuable Collection of near Eight Hundred well-experienced Practical Family-Receipts in Physick and Surgery; Cookery, Pastry and Confectionary, with a complete Bill of Fare for every Month in the Year, and Instructions for placing the Dishes on a Table; ... Part II. Containing, I. Full Instructions to be observed in Hunting, Coursing, Setting and Shooting; ... Part III. Containing practical Rules, and Methods, for the Improving of Land, and Managing a Farm in all its Branches; ... The Whole, being faithfully Collected by several very Eminent and ingenious Gentlemen.",The Complete Family-Piece,Anonymous,,,,1737.0,2.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE ACCOMPLISH'D HOUSEWIFE, AND HOUSE-KEEPER'S POCKET-COMPANION, or, The Compleat Family Cook. Containing several Hundred Curious, and the most, Useful Receipts in- Cookery,- Pickling,- Preserving,- Candying, Pastry, Jellies, Syrups, English Wines, &c. With Plain and Easy Directions for Dressing and Preparing every Thing suitable and necessary for an Elegant Entertainment, from Two to Five or Ten Dishes, &c. ... Printed by the Author, in the Year 1736.",The Accomplish'd Housewife and House-Keeper's Pocket-Companion,Anonymous,,,,1736.0,1.0,,,Anonymous (Author),,Original,,English,Unknown,Duodecimo,155.0,,,None 1s.6d.
"DICTIONARIUM DOMESTICUM. Being a New and Compleat Household Dictionary, for the Use both of City and Country, shewing, I. The whole Arts of Brewing, Baking, Cookery, and Pickling. Also Confectionary in its several Branches. II. The Management of the Kitchen, Pantry, Larder, Dairy, Olitory, and Poultry. With the proper Seasons for Flesh, Fowl and Fish. III. The Herdsman: Giving an Account of the Diseases of Cattle, Poultry, &c. And the most approved Remedies for their Cure. IV. The English Vineyard; being the best Method of making English Wines and of Distilling most Kinds of Simple and Compound Cordial Waters. V. The Apiary: Or, The Manner of Breeding, Hiving and managing of Bees. VI. The Family Physician and Herbalist: Containing the choicest Collection of Receipts for most Distempers, incident to Human Bodies.",Dictionarium Domesticum,Nathan Bailey,,,,1736.0,1.0,,,N. Bailey (Author); C. Hitch (Publisher); C. Davis (Publisher); S. Austen (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE WHOLE DUTY OF A WOMAN Or, an infallible Guide to the Fair Sex, Containing, Rules, Directions, and Observations, for their Conduct and Behaviour through all Ages and Circumstances of Life, as Virgins, Wives, or Widows. With Directions, how to obtain all Useful and Fashionable Accomplishments suitable to the Sex. In which are comprised all Parts of Good Housewifery, particularly Rules and Receipts in every Kind of Cookery.",The Whole Duty of a Woman,Anonymous,,,,1737.0,1.0,,,Anonymous (Author); T. Read (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE WHOLE DUTY OF A WOMAN Or, an infallible Guide to the Fair Sex, Containing, Rules, Directions, and Observations, for their Conduct and Behaviour through all Ages and Circumstances of Life, as Virgins, Wives, or Widows. With Directions, how to obtain all Useful and Fashionable Accomplishments suitable to the Sex. In which are comprised all Parts of Good Housewifery, particularly Rules and Receipts in every Kind of Cookery.",The Whole Duty of a Woman,Anonymous,,,,1740.0,2.0,,,,,Revised Edition,,English,Unknown,Unknown,,True,,
"AN ALARM TO ALL PERSONS touching their Health and Lives: or, A Discovery of the most shocking, pernicious, and destructive Practices made use of by many in this Kingdom, who make and sell divers Kinds of Eatables and Drinkables; whereby many languish in their Health, and lose their Lives; founded on Verity and Facts. By Jasper Arnaud, sometime past First Cook to the late Duke of Orleans, and now for some Time Cook in London.",An Alarm to All Persons,Jasper Arnaud,,,,1740.0,1.0,,,Jasper Arnaud (Author); T. Payne (Publisher),,Original,,English,Unknown,Unknown,24.0,,,
"E. KIDDER'S RECEIPTS OF PASTRY AND COOKERY, for the Use of his Scholars. Who teaches at his School in St. Martins le Grand: on Mondays, Tuesdays, & Wednesdays, in the Afternoon. Also on Thursdays, Fridays & Saturdays, in the Afternoon, at his School next to Furnivals Inn in Holborn.",E. Kidder's Receipts of Pastry and Cookery,E. Kidder,,,,,,,,E. Kidder (Author); Rob. Sheppard (Illustrator),,Original,,English,Unknown,Unknown,,True,,
"THE FAMILY MAGAZINE: in Two Parts. Part I. Containing Useful Directions in All the Branches of House-Keeping and Cookery. ... Part II. Containing A Compendious Body of Physick; Succinctly Treating of all the Diseases and Accidents incident to Men, Women, and Children: with Practical Rules and Directions for the Preserving and Restoring of Health, and Prolonging of Life. Being principally the Common-place Book of a late able Physician.",The Family Magazine,Arabella Atkyns,,,,1741.0,1.0,,,Arabella Atkyns (Author); J. Osborn (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE FAMILY MAGAZINE: in Two Parts. Part I. Containing Useful Directions in All the Branches of House-Keeping and Cookery. ... Part II. Containing A Compendious Body of Physick; Succinctly Treating of all the Diseases and Accidents incident to Men, Women, and Children: with Practical Rules and Directions for the Preserving and Restoring of Health, and Prolonging of Life. Being principally the Common-place Book of a late able Physician.",The Family Magazine,Arabella Atkyns,,,,1743.0,2.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"THE FAMILY MAGAZINE: in Two Parts. Part I. Containing Useful Directions in All the Branches of House-Keeping and Cookery. ... Part II. Containing A Compendious Body of Physick; Succinctly Treating of all the Diseases and Accidents incident to Men, Women, and Children: with Practical Rules and Directions for the Preserving and Restoring of Health, and Prolonging of Life. Being principally the Common-place Book of a late able Physician.",The Family Magazine,Arabella Atkyns,,,,1754.0,4.0,,,,,Reprint,,English,Unknown,Unknown,,,,
"A PRESENT FOR A SERVANT-MAID Or, The Sure Means of gaining Love and Esteem. Under the following Heads: Observance. Avoiding Sloth. Sluttishness. Staying on Errands. Telling Family Affairs. Secrets among Fellow-Servants. ... To which are added Directions for going to Market: Also, For Dressing any Common Dish, whether Flesh, Fish or Fowl. With some Rules for Washing, &c.",A Present for a Servant-Maid,Anonymous,,,,1743.0,1.0,,,Anonymous (Author); T. Gardner (Publisher),,Original,,English,Unknown,Unknown,,,,None 1s.
"THE INSTRUCTOR, or, Young Man’s Best Companion. By George Fisher. The Seventh Edition.",The Instructor,George Fisher,,,,1743.0,7.0,,,George Fisher (Author),,Reprint,,English,Unknown,Unknown,,,,
"THE ART OF PRESERVING HEALTH. By John Armstrong, M.D.",The Art of Preserving Health,John Armstrong,,,,1744.0,1.0,,,John Armstrong (Author); A. Millar (Publisher),,Original,,English,Unknown,Unknown,,,,
"ADAM’S LUXURY, AND EVE’S COOKERY; or, The Kitchen-Garden display’d. In Two Parts. I. Shewing the best and most approved Methods of raising and bringing to the greatest Perfection, all the Products of the Kitchen-Garden; ... II. Containing a large Collection of Receipts for dressing all Sorts of Kitchen-Stuff, so as to afford a great Variety of cheap, healthful, and palatable Dishes. To which is added, The Physical Virtues of every Herb and Root.",Adam's Luxury and Eve's Cookery,Anonymous,,,,1744.0,1.0,,,Anonymous (Author); R. Dodsley (Publisher); M. Cooper (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE ACCOMPLISH'D HOUSEWIFE; or, The Gentleman's Companion: Containing I. Reflections on the Education of the Fair Sex; ... VIII. Receipts in Cookery, Pastry, &c. IX. Instructions for Carving and placing Dishes on the Table. ... Concluding with some serious Instructions for the Conduct of the Fair Sex.",The Accomplish'd Housewife (Gentleman's Companion),Anonymous,,,,1745.0,1.0,,,Anonymous (Author); J. Newberry (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE PYTHAGOREAN DIET OF VEGETABLES ONLY Conducive to the Preservation of Health, and the Cure of Diseases. A Discourse delivered at Florence, in the Month of August, 1743. By Antonio Cocchi, of Mugello. Translated from the Italian.",The Pythagorean Diet of Vegetables Only,Antonio Cocchi,,,,1745.0,1.0,,,Antonio Cocchi (Author); R. Dodsley (Publisher),,Translation,,English,Italian,Unknown,,,,
"THE ART OF COOKERY MADE PLAIN AND EASY Which far exceeds any Thing of the Kind ever yet Published. Containing, I. Of Roasting, Boiling, &c. ... XXII. How to Market, and the Seasons of the Year. By a Lady.",The Art of Cookery Made Plain and Easy,Hannah Glasse,,,,1747.0,1.0,,,Hannah Glasse (Author),,Original,,English,Unknown,Folio,,,,None 3s. (stitch'd) / 5s. (bound)
"THE LONDON AND COUNTRY COOK: or, Accomplished Housewife, containing practical Directions and the best Receipts in all the Branches of Cookery and Housekeeping; ... Interspersed with many sovereign and approved Medicines used by Private Families in most Distempers; and illustrated with Forty-nine large Copper Plates. By Charles Carter, cook to his Grace the Duke of Argyle, &c. The Third Edition. Revised and much improved by a Gentlewoman; many Years Housekeeper to an eminent Merchant in the City of London.",The London and Country Cook,Charles Carter,,,,1749.0,3.0,,,Charles Carter (Author); Charles Hitch (Publisher); Stephen Austen (Publisher); John Hinton (Publisher),,Revised Edition,,English,Unknown,Unknown,,True,,
"ENGLISH HOUSEWIFERY Exemplified in above Four Hundred and Fifty Receipts, giving Directions in most Parts of Cookery; and how to prepare various Sorts of- Soops,- Made-Dishes,- Pastes,- Pickles, Cakes,- Creams,- Jellies,- Made-Wines, &c. With Cuts for the orderly placing the Dishes and Courses; also Bills of Fare for every Month in the Year; and an alphabetical Index to the Whole. By Elizabeth Moxon.",English Housewifery,Elizabeth Moxon,,,,1749.0,1.0,,,Elizabeth Moxon (Author); James Lister (Printer),,Original,,English,Unknown,Unknown,,True,,
"ENGLISH HOUSEWIFERY Exemplified in above Four Hundred and Fifty Receipts, giving Directions in most Parts of Cookery; and how to prepare various Sorts of- Soops,- Made-Dishes,- Pastes,- Pickles, Cakes,- Creams,- Jellies,- Made-Wines, &c. With Cuts for the orderly placing the Dishes and Courses; also Bills of Fare for every Month in the Year; and an alphabetical Index to the Whole. By Elizabeth Moxon.",English Housewifery,Elizabeth Moxon,,,,1758.0,,,,Griffith Wright (Printer); George Copperthwaite (Publisher),,Enlarged Edition,,English,Unknown,Unknown,,,,
"THE COUNTRY HOUSEWIFE'S FAMILY COMPANION: or, Profitable Directions for whatever relates to the Management and Good Œconomy of the Domestick Concerns of a Country Life, according to the Present Practice of the Country Gentleman's, the Yeoman's, the Farmer's, &c. Wives, in the Counties of Hertford, Bucks, and other Parts of England: shewing how great Savings may be made in Housekeeping: ... The Whole founded on near thirty Years Experience by W. Ellis, Farmer, at Little Gaddesden, near Hempsted, Hertfords.",The Country Housewife's Family Companion,W. Ellis,,,,1750.0,1.0,,,W. Ellis (Author); James Hodges (Publisher); B. Collins (Publisher),,Original,,English,Unknown,Unknown,,True,,
"A COLLECTION OF SCARCE AND VALUABLE RECEIPTS, never before printed, and taken from the Manuscripts of divers Persons of the most refin'd Taste and greatest Judgment in the Arts of Cookery, Preserving, &c. To which is added, the Author's own Method of Pickling, together with Directions for making several Sorts of Wines, Mead, Sherbet, Punch, &c. after the most approved Manner. Concluding with many excellent Prescriptions, of singular Efficacy in most Distempers, incident to the Human Body. By Anne Battam, Mistress of Myon's Coffee-House, in Great-Russel-street, Bloomsbury; where the said Book may be had.",A Collection of Scarce and Valuable Receipts,Anne Battam,,,,1750.0,1.0,,,Anne Battam (Author),,Original,,English,Unknown,Unknown,,,,None 3s.
"A COLLECTION OF SCARCE AND VALUABLE RECEIPTS, never before printed, and taken from the Manuscripts of divers Persons of the most refin'd Taste and greatest Judgment in the Arts of Cookery, Preserving, &c. To which is added, the Author's own Method of Pickling, together with Directions for making several Sorts of Wines, Mead, Sherbet, Punch, &c. after the most approved Manner. Concluding with many excellent Prescriptions, of singular Efficacy in most Distempers, incident to the Human Body. By Anne Battam, Mistress of Myon's Coffee-House, in Great-Russel-street, Bloomsbury; where the said Book may be had.",A Collection of Scarce and Valuable Receipts,Anne Battam,,,,1759.0,2.0,,,,,Enlarged Edition,,English,Unknown,Unknown,,,,
"THE MODERN METHOD OF REGULATING AND FORMING A TABLE, explained and displayed, containing a great Variety of Dinners laid out in the most elegant Taste, from two Courses of Five and Five, to Twenty-one and Twenty-one Dishes; finely represented, on One Hundred and Fifty-Two Copper Plates. Together with Twelve elegant Dinners for different Seasons of the Year and a correct List of such Particulars as are in Season during every Month. The whole calculated for the Use and Ease of Ladies, Clerks of the Kitchen, House-keepers, &c. By several eminent Cooks, and others well acquainted with these Arts.",The Modern Method of Regulating and Forming a Table,Anonymous,,,,,,,,Anonymous (Compiler); J. Hughes (Publisher); S. Crowder (Publisher),,Original,,English,Unknown,Folio,,True,,
"THE ART OF CONFECTIONARY: Shewing the Various Methods of Preserving all Sorts of Fruits, Dry and Liquid: ... By the late ingenious Mr. Edward Lambert, Confectioner, in Pall-Mall. To which is now added The Ladies Toilet or The Art of Preserving Beauty.",The Art of Confectionary,Edward Lambert,,,,,,,,Edward Lambert (Author); F. Newbery (Publisher),,Original,,English,Unknown,Unknown,63.0,,,None 1s.
"THE PRUDENT HOUSEWIFE: or, Complete English Cook for Town and Country. Being the newest Collection of the most Genteel, and least expensive Receipts in every Branch of Cookery, ... Written by Mrs. Fisher, of Richmond.",The Prudent Housewife,Mrs. Fisher,,,,,,,,Mrs. Fisher (Author); T. Sabine (Printer),,Original,,English,Unknown,Unknown,136.0,True,,None 1s.
"THE YOUNG WOMAN'S COMPANION or the Servant-Maid’s Assistant; digested under the several Heads hereinafter mentioned, ... The whole compiled by Mary Johnson, for many Years a Superintendent of a Lady of Quality’s Family in the City of York.",The Young Woman's Companion,Mary Johnson,,,,1753.0,1.0,,,Mary Johnson (Author); H. Jeffery (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE ART OF COOKERY MADE EASY AND REFINED; comprising ample Directions for preparing every Article requisite for furnishing the Tables of the Nobleman, Gentleman, and Tradesman.",Art of Cookery Made Easy and Refined,John Mollard,,,,1801.0,1.0,,,John Mollard (Author); T. Bensley (Printer); J. Nunn (Publisher),,Original,,English,Unknown,Octavo,314.0,,,
"THE ART OF COOKERY MADE PLAIN AND EASY; excelling any Thing of the Kind ever yet published. Containing- Directions how to Market; the Season of the Year for Butchers' meat, Poultry, Fish, &c. - How to roast and boil to Perfection every Thing necessary to be sent up to Table. - Vegetables. - Broiling. - Frying. - To dress Fish. - Made Dishes. - Poultry. - Soups and Broths. - Puddings. - Pies. - Variety of Dishes for Lent, which may be made Use of any other Time. - Gravies. - Sauces. - Hashes. - Fricassees. - Ragouts. - To cure Hams, Bacon, &c. - Pickling. - Making Cakes. - Jellies. - Preserving. - Made Wines. &c. &c. &c. &c. Carefully selected from, and containing all the most useful Receipts of Mrs. Glasse. Ornamented with Engravings, explaining the Method used by the London Butchers in cutting up Meat; with the Names of the different Joints; and a Variety of Cuts, shewing the Art of Trussing and Carving.",Art of Cookery Made Plain and Easy (selected from Mrs. Glasse),Anonymous,,,,1802.0,1.0,,,Anonymous (Compiler); T. Maiden (Printer); Ann Lemoine (Publisher),,Compilation,,English,Unknown,Unknown,96.0,True,,1 s.
"THE FAMILY FRIEND, or Housekeeper’s Instructor: containing a very complete collection of original & approved receipts in every branch of cookery, confectionary, &c.",The Family Friend,Priscilla Haslehurst,,,,1802.0,1.0,,,Priscilla Haslehurst (Author); J. Montgomery (Printer),,Original,,English,Unknown,Octavo,156.0,,,
"AN ESSAY ON ABSTINENCE FROM ANIMAL FOOD, as a Moral Duty.",Essay on Abstinence from Animal Food,Joseph Ritson,,,,1802.0,1.0,,,Joseph Ritson (Author); Wilks and Taylor (Printer); Richard Phillips (Publisher),,Original,,English,Unknown,Unknown,,,,
"CULINA FAMULATRIX MEDICINÆ or, Receipts in Cookery, worthy the notice of those Medical Practitioners, who ride in their Chariots with a Footman behind, and who receive Two-Guinea Fees from their Rich and Luxurious Patients.",Culina Famulatrix Medicinæ,A. Hunter,,,,1804.0,1.0,,,A. Hunter (Author); T. Wilson (Printer); R. Spence (Printer); J. Mawman (Publisher),,Original,,English,Unknown,Unknown,,True,,
"THE HOUSEKEEPER’S INSTRUCTOR or Universal Family Cook, being a full and clear Display of the Art of Cookery in all its Branches.",The Housekeeper's Instructor,W. A. Henderson,,,,1804.0,12.0,,,W. A. Henderson (Author); Jacob Christopher Schnebbelie (Editor); J. Stratford (Publisher),,Revised Edition,,English,Unknown,Unknown,,True,,
"THE NEW PRACTICE of Cookery, Pastry, Baking, and Preserving: being The Country Housewife’s Best Friend.",The New Practice of Cookery,Mrs. Hudson and Mrs. Donat,,,,1804.0,1.0,,,Mrs. Hudson (Author); Mrs. Donat (Author); J. Moir (Printer),,Original,,English,Unknown,Unknown,242.0,,,
"A COMPLETE SYSTEM OF COOKERY On a plan entirely new, consisting of everything that is requisite for cooks to know in the kitchen business; containing Bills of Fare for every day in the year, and directions to dress each dish; being one year's work, at the Marquis of Buckingham's, From the 1st of January, to the 31st of December, 1805.",A Complete System of Cookery,John Simpson,,,,1806.0,1.0,,,John Simpson (Author); W. Stewart (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE FAMILY DIRECTOR; or, Housekeeper's Assistant: containing upwards of Three Hundred Original Receipts, in Pastry, Pickling, Preserving, Collaring, Making Wines, &c.",The Family Director,Addison Ashburn,,,,1807.0,1.0,,,Addison Ashburn (Author); N. Merridew (Printer),,Original,,English,Unknown,Unknown,180.0,,,
"A NEW SYSTEM OF DOMESTIC COOKERY; formed upon Principles of Economy, and adapted to the Use of Private Families.",A New System of Domestic Cookery,Maria Eliza Rundle,,,,1807.0,1.0,,,Maria Eliza Rundle (Author); John Murray (Publisher); W. Wilson (Printer),,Revised Edition,,English,Unknown,Duodecimo,351.0,True,,7.5 s.
"THE LINCOLNSHIRE FAMILY JEWEL or, The Art of Cookery made Plain and Easy.",The Lincolnshire Family Jewel,Anonymous,,,,1808.0,1.0,,,Anonymous (Author); John Drury (Printer),,Original,,English,Unknown,Unknown,34.0,,,
THE TOWN AND COUNTRY COOKERY or Housekeeper's Companion; containing a Number of the most useful and economical Receipts in Cookery.,The Town and Country Cookery,Anonymous,,,,1808.0,1.0,,,Anonymous (Author); R. Harrild (Printer),,Original,,English,Unknown,Unknown,36.0,True,,
"THE IMPERIAL AND ROYAL COOK consisting of the most sumptuous made Dishes, Ragouts, Fricassees, Soups, Gravies, &c. Foreign and English: including the latest Improvements in Fashionable Life.",The Imperial and Royal Cook,Frederic Nutt,,,,1809.0,1.0,,,Frederic Nutt (Author); James Moyes (Printer); Matthews and Leigh (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE COMPLETE CONFECTIONER AND FAMILY COOK Including all the late improvements in:- Confectionary,- Preserving,- Pickling,- Jellies,- Creams,- Pastry,- Baking,- Cookery,- &c. &c.",The Complete Confectioner and Family Cook,J. Caird,,,,1809.0,1.0,,,J. Caird (Author); Archibald Allardice (Printer),,Original,,English,Unknown,Unknown,454.0,True,,
"THE NEW FAMILY RECEIPT-BOOK Containing seven hundred truly valuable Receipts in various Branches of Domestic Economy; selected from the Works of British and Foreign Writers of unquestionable Experience & Authority, and from the attested Communications of Scientific Friends.",The New Family Receipt-Book (Rundle supplement),Maria Eliza Rundle,,,,1810.0,1.0,,,Maria Eliza Rundle (Author); Squire and Warwick (Printer); John Murray (Publisher),,Other,,English,Unknown,Unknown,,,,7.5 s.
"The Housekeeper's Domestic Library Or, New universal family Instructor in Practical Economy.",The Housekeeper's Domestic Library,Charles Millington,,,,1810.0,1.0,,,Charles Millington (Author); W. Flint (Printer),,Original,,English,Unknown,Octavo,403.0,True,,
"THE FEMALE ECONOMIST Or A Plain System of Cookery, for the Use of Families, containing upwards of Eight Hundred and Fifty Valuable Receipts.",The Female Economist,Mrs. Smith,,,,1810.0,1.0,,,Mrs. Smith (Author); Samuel Leigh (Publisher),,Original,,English,Unknown,Unknown,,True,,4 s.
"DOMESTIC MANAGEMENT; or, The Healthful Cookery-Book. To which is prefixed a Treatise on Diet, as the surest Means to preserve Health, Long Life, &c.",Domestic Management,Arabella Plumptre,,,,1810.0,1.0,,,Arabella Plumptre (Author); B. Crosby and Co. (Publisher); J. G. Barnard (Printer),,Original,,English,Unknown,Duodecimo,355.0,,,5 s.
"THE BRITISH HOUSEWIFE; containing the most approved Receipts in Roasting, Boiling, Frying, Broiling and Stewing; also The Complete Brewer; explaining the Art of brewing Porter, Ale; Twopenny, and Table Beer; including the particular Directions for making British Wines.",The British Housewife,Anonymous,,,,1810.0,,,,Anonymous (Author); William Lane (Publisher),,Original,,English,Unknown,Unknown,72.0,True,,
"The Young Woman's Companion or, Frugal Housewife. Containing the most approved Methods of Pickling, Preserving, Potting, Collaring, Confectionary, Managing and Colouring Foreign Wines and Spirits, making English Wines, Compounds, &c. &c.",The Young Woman's Companion,Anonymous,,,,1811.0,1.0,,,Anonymous (Author); Russell and Allen (Printer),,Original,,English,Unknown,Octavo,540.0,True,,
"The Return to Nature or, A Defence of the Vegetable Regimen; with some Account of an Experiment made during the last three or four years in the Author's Family.",The Return to Nature,John Frank Newton,,,,1811.0,1.0,,,John Frank Newton (Author); J. McCreery (Printer),,Original,,English,Unknown,Unknown,,,,
"THE ART OF PRESERVING All kinds of animal and vegetable substances for several years. A work published by order of the French minister of the interior, on the report of the Board of Arts and Manufactures.","The Art of Preserving (Appert, trans.)",M. Appert,,,,1811.0,1.0,,,"M. Appert (Author); Black, Parry, and Kingsbury (Publisher)",,Translation,,English,French,Unknown,,True,,
"THE FRUGAL HOUSEKEEPER'S COMPANION Being a complete System of Cookery, the result of thirty-six years' actual experience, in some of the most respectable Families in the Kingdom.",The Frugal Housekeeper's Companion,Elizabeth Alcock,,,,1812.0,1.0,,,Elizabeth Alcock (Author); James Smith (Printer),,Original,,English,Unknown,Octavo,263.0,,,
"THE FRENCH COOK; or, The Art of Cookery developed in all its various Branches.",The French Cook,Louis Eustache Ude,,,,1813.0,1.0,,,Louis Eustache Ude (Author); Cox and Baylis (Printer),,Original,,English,Unknown,Unknown,,True,,
"THE SCHOOL FOR GOOD LIVING; or, a literary and historical essay on the European kitchen: beginning with Cadmus the cook and king, and concluding with the Union of Cookery and Chymistry.",The School for Good Living,Anonymous,,,,1814.0,1.0,,,Anonymous (Author); J. Gillet (Printer); H. Colburn (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE EPICURE'S ALMANACK; or, Calendar of Good Living: containing a Directory to the Taverns, Coffee-houses, Inns, Eating-houses, and other Places of alimentary Resort in the British Metropolis and its Environs: a Review of Artists who administer to the Wants and Enjoyments of the Table; a Survey of the Markets; and a Calendar of the Meats in Season during each Month of the Year.",The Epicure's Almanack,Anonymous,,,,1815.0,1.0,,,"Anonymous (Author); Longman, Hurst, Rees, Orme, and Brown (Publisher)",,Original,,English,Unknown,Duodecimo,351.0,,,
"THE FEMALE INSTRUCTOR; or, Young Woman’s Companion: being a Guide to all the Accomplishments which adorn the Female Character, either as a useful Member of Society, a pleasing and instructive Companion, or, a respectable Mother of a Family.",The Female Instructor,Anonymous,,,,1815.0,,,,"Anonymous (Author); Nuttall, Fisher, and Dixon (Printer)",,Original,,English,Unknown,Octavo,560.0,True,,
"MODERN DOMESTIC COOKERY, and useful Receipt Book; containing the most approved Directions for Purchasing, Preserving, and Cooking Meat, Fish, Poultry, Game, &c. in all their Varieties; Trussing and Carving; Preparing Soups, Gravies, Sauces, Made Dishes, Potting, Pickling, &c.",Modern Domestic Cookery,Elizabeth Hammond,,,,1817.0,7.0,,,Elizabeth Hammond (Author); Dean and Munday (Publisher),,Revised Edition,,English,Unknown,Duodecimo,288.0,,,
"THE FAMILY RECEIPT-BOOK; or, Universal Repository of Useful Knowledge and Experience in all the various Branches of Domestic Œconomy.",The Family Receipt-Book (Oddy & Co. ed.),Anonymous,,,,1817.0,3.0,,,Anonymous (Editor); Oddy and Co. (Publisher),,Compilation,,English,Unknown,Quarto,584.0,,,25 s.
THE NEW FAMILY RECEIPT-BOOK.,The New Family Receipt-Book (Hughson),D. Hughson,,,,1817.0,1.0,,,D. Hughson (Author); W. Pritchard (Publisher),,Original,,English,Unknown,Quarto,384.0,,,
"APICIUS REDEVIVUS; OR, THE COOK'S ORACLE: wherein especially the Art of composing Soups, Sauces, and Flavouring Essences is made so clear and easy, by the Quantity of each Article being accurately stated by Weight and Measure, that every one may soon learn to dress a Dinner, as well as the most experienced Cook.",Apicius Redevivus (The Cook's Oracle),William Kitchiner,,,,1817.0,1.0,,,William Kitchiner (Author); Samuel Bagster (Publisher); J. Moyes (Printer),,Original,,English,Unknown,Unknown,,,,
"THE FAMILY RECEIPT BOOK Containing a great Variety of useful Family Receipts in Housekeeping, Making Wines, &c.",The Family Receipt Book (Westcott),Mrs. Westcott,,,,1818.0,1.0,,,Mrs. Westcott (Author); Haviland and Creagh (Printer),,Original,,English,Unknown,Unknown,177.0,,,
THE BANQUET in three cantos,The Banquet,Hans Busk,,,,1819.0,1.0,,,"Hans Busk (Author); Baldwin, Cradock, and Joy (Publisher)",,Original,,English,Unknown,Unknown,,True,,
"THE HOUSEKEEPER'S ACCOMPT-BOOK (Improved by Red Lines across the Pages) for the Year 1820; being an easy, concise, and complete method of keeping an exact account of every article made use of in a family throughout the year;",The Housekeeper's Accompt-Book,Anonymous,,,,1820.0,1.0,,,Anonymous (Compiler); R. Cruttwell (Printer),,Original,,English,Unknown,Quarto,,,,2 s.
COOKERY,Cookery (Mrs. Nourse),Mrs. Nourse,,,,1820.0,4.0,,,Mrs. Nourse (Author),,Reprint,,English,Unknown,Octavo,336.0,,,
"TABELLA CIBARIA The Bill of Fare: a Latin poem, implicitly translated and fully explained in copious and interesting Notes, relating to the Pleasures of Gastronomy, and the mysterious Art of Cookery.",Tabella Cibaria,Ange-Denis Macquin,,,,1820.0,1.0,,,"Ange-Denis Macquin (Author); Sherwood, Neely, and Jones (Publisher)",,Original,,English,Latin,Unknown,,,,
"THE MODERN COOKERY Written upon the most approved and economical principles, and in which every Receipt has stood the Test of Experience.",The Modern Cookery,Anonymous,,,,1820.0,2.0,,,Anonymous (Author); Henry Mozley (Printer),,Reprint,,English,Unknown,Duodecimo,209.0,True,,
"THE ITALIAN CONFECTIONER Or, Complete Economy of Desserts: containing the Elements of the Art, according to the most modern and approved practice.",The Italian Confectioner,G. A. Jarrin,,,,1820.0,1.0,,,G. A. Jarrin (Author); William H. Ainsworth (Publisher),,Original,,English,Unknown,Unknown,,True,,
"PRACTICAL ECONOMY Or, the application of modern discoveries to the purposes of domestic life.",Practical Economy,Anonymous,,,,1821.0,1.0,,,Anonymous (Author); Henry Colburn & Co. (Publisher),,Original,,English,Unknown,Unknown,,,,
"THE MODERN RECEIPT BOOK Being a collection of nearly eight hundred valuable receipts, arranged under their respective heads; viz. Domestic Economy, Bleaching and Scouring, Dyeing, Tanning, Cements, Varnishes, Lackers, Rural Economy, Management of Bees, Gardening, Brewing, Distilling, Perfumery, Making Wines, the Metallic Arts (including Gilding, Silvering, and Plating), Drawing and Painting, &c.",The Modern Receipt Book,James Cochrane,,,,1821.0,1.0,,,James Cochrane (Author); A. K. Newman and Co. (Publisher),,Compilation,,English,Unknown,Unknown,,,,
A NEW SYSTEM OF VEGETABLE COOKERY With an Introduction recommending abstinence from animal food and intoxicating liquors.,A New System of Vegetable Cookery,Anonymous,,,,1821.0,2.0,,,"Anonymous (Author); Academy Press, King-Street (Printer)",,Reprint,,English,Unknown,Duodecimo,372.0,,,3.5 s.
"CULINARY CHEMISTRY Exhibiting the scientific principles of cookery, with concise instructions for preparing good and wholesome Pickles, Vinegar, Conserves, Fruit Jellies, Marmalades, and various other Alimentary Substances employed in Domestic Economy, with observations on the chemical constitution and nutritive qualities of different kinds of food.",Culinary Chemistry,Frederick Accum,,,,1821.0,1.0,,,Frederick Accum (Author); R. Ackermann (Publisher),,Original,,English,Unknown,Unknown,,True,,
